num_cases,num_deaths,fatality_rate,f_rate,pop,D1,D2,MI,P,CHW,F,LE,PG,PR,PRG,PUG,PU,S,SU,SR,W,WU,WR,OD,ODU,ODR,chol_per_1000,death_by_chol_per_100k,temp_c,rain_mm
1,0.0,0.0,0.0,372388.0,0.0,0.0,0.0,0.0,0.0,1.893,74.9144634146,1.53622495677,17.333,1.1844417371,1.61014142201,82.667,92.0,92.0,92.0,98.4,98.4,98.4,0.0,0.0,0.0,0.002685371172,0.0,25.438225,1461.3384
8,0.0,0.0,0.0,1377237.0,0.0,0.0,0.0,0.0,0.0,2.035,76.819097561,1.11765068273,11.225,0.620309936897,1.18071264985,88.775,99.2,99.2,99.2,100.0,100.0,100.0,0.0,0.0,0.0,0.00580873154003,0.0,28.5074,51.89617
983,8.0,0.81,0.813835198372,9509798.0,0.0,0.0,331.6,0.059,0.0,5.094,58.7297073171,2.86744784697,58.146,2.19384261687,3.810854216,41.854,17.3,32.7,6.2,74.5,83.2,68.3,58.0,29.2,78.7,0.103367074674,0.0841237637224,28.3591,1142.39374
755,4.0,0.53,0.529801324503,9779391.0,0.0,0.0,0.0,0.0,0.0,5.009,58.932902439,2.79545766367,57.744,2.10170434228,3.75134123745,42.256,17.8,33.4,6.5,75.3,83.7,69.2,56.9,28.1,78.0,0.0772031714449,0.0409023424874,28.0348333333,917.07612
625,3.0,0.48,0.48,10049792.0,48.8,50.1,0.0,0.0,0.0,4.927,59.1219756098,2.72747256043,57.333,2.01315273191,3.69543270061,42.667,18.4,34.1,6.7,76.2,84.2,70.2,55.8,27.1,77.2,0.0621903418499,0.0298513640879,27.8581583333,1041.73868
528,6.0,1.14,1.13636363636,10322232.0,0.0,0.0,0.0,0.0,0.0,4.846,59.3120243902,2.67480779647,56.914,1.94130827747,3.65203780024,43.086,19.0,34.9,7.0,77.0,84.7,71.2,54.7,26.0,76.4,0.0511517276496,0.0581269632382,28.0143,957.56435
832,12.0,1.4,1.44230769231,10598482.0,32.5,0.0,0.0,0.0,0.0,4.766,59.5105853659,2.64107675774,56.486,1.88623277771,3.62952483302,43.514,19.6,35.6,7.3,77.8,85.2,72.1,53.5,24.9,75.6,0.0785018080891,0.113223761667,28.1641333333,1051.29729
1,0.0,0.0,0.0,200517584.0,0.0,0.0,0.0,1.857,0.0,1.823,73.5523414634,0.953765381162,15.377,-0.90183907282,1.29467896298,84.623,81.1,86.9,49.0,97.2,99.5,84.6,3.5,0.9,17.6,4.98709380021e-06,0.0,25.5327916667,1832.3801
3,0.0,0.0,0.0,399443.0,0.0,0.0,0.0,1.498,0.0,1.934,77.9323170732,1.54933120773,24.128,0.0601978243173,2.02757730496,75.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075104583132,0.0,25.512575,3798.515
20,2.0,10.0,10.0,16106851.0,0.0,0.0,0.0,0.0,0.0,5.78,57.4920487805,2.99203920294,73.495,1.85558750941,6.21255587442,26.505,18.0,50.1,6.5,80.0,96.4,74.1,57.9,9.2,75.4,0.00124170764354,0.0124170764354,28.9644833333,727.60232
143,7.0,4.9,4.8951048951,16590813.0,0.0,0.0,0.0,0.0,0.0,5.693,57.8793170732,2.96043989972,72.654,1.80954583553,6.08412981358,27.346,18.6,50.4,6.7,81.7,97.5,75.8,56.8,9.1,74.7,0.00861922800287,0.0421920251889,28.6255083333,880.28176
333,1.0,0.3,0.3003003003,9461117.0,42.5,37.8,198.2,0.0,0.0,6.302,54.829195122,3.47723280276,89.359,3.18112448267,5.99905461925,10.641,46.9,41.7,47.6,74.7,91.9,72.6,2.8,1.5,3.0,0.0351966897778,0.0105695765098,21.4138166667,1296.80687
1072,1.0,0.09,0.0932835820896,9790151.0,0.0,0.0,0.0,0.0,0.0,6.212,55.3120243902,3.41864281221,89.088,3.11490867519,5.93352622439,10.912,47.2,42.2,47.8,75.0,91.7,72.9,2.8,1.5,3.0,0.109497800391,0.0102143470514,21.0479583333,1499.2366
214,1.0,0.47,0.467289719626,10124572.0,0.0,0.0,0.0,0.0,0.0,6.123,55.7892926829,3.35884601688,88.811,3.0474339481,5.86564525565,11.189,47.5,42.7,48.1,75.3,91.5,73.2,2.8,1.5,2.9,0.0211366959512,0.00987696072486,20.9279083333,1010.58292
1557,17.0,1.09,1.09184328838,10465959.0,0.0,0.0,0.0,0.0,0.0,6.035,56.2516097561,3.31626500012,88.528,2.99709599926,5.8141252622,11.472,47.8,43.3,48.3,75.5,91.3,73.5,2.8,1.5,2.9,0.148768020207,0.162431364388,20.8403583333,1300.78892
582,9.0,1.5,1.54639175258,10816860.0,0.0,0.0,0.0,0.0,0.0,5.948,56.6920243902,3.29780374787,88.239,2.97082032872,5.78576486303,11.761,48.0,43.8,48.6,75.8,91.1,73.8,2.8,1.5,2.9,0.0538048934719,0.0832034435132,21.046975,1249.46147
442,0.0,0.0,0.0,11178921.0,0.0,0.0,126.3,0.0,0.0,5.863,57.1070487805,3.29239234675,87.943,2.95637182964,5.77806470196,12.057,48.0,43.8,48.6,75.9,91.1,73.8,2.7,1.5,2.9,0.0395386996652,0.0,20.68845,1318.45245
588,1.0,0.17,0.170068027211,14363586.0,48.0,34.1,20.5,0.212,0.0,2.875,66.3856585366,1.53819219244,80.19,1.35878030932,2.26775034444,19.81,33.6,73.8,23.7,64.2,86.1,58.8,56.8,14.8,67.2,0.0409368523988,0.00696204972769,27.8946916667,1597.6946
10759,657.0,6.1,6.10651547542,20590666.0,0.0,0.0,321.8,0.0,0.0,5.017,53.6948292683,2.5386417476,48.484,1.33317506954,3.68658965235,51.516,44.7,61.5,26.7,72.1,92.6,50.2,6.5,1.0,12.4,0.522518309995,3.19076614618,25.4035916667,1579.9778
22433,783.0,3.49,3.49039361655,21119065.0,46.5,17.2,0.0,0.0,0.0,4.938,54.1373658537,2.53383207092,47.901,1.32407731962,3.65917128051,52.099,44.9,61.6,26.8,73.1,93.4,51.0,6.3,0.9,12.2,1.06221558578,3.70755049999,25.1331666667,1354.5053
363,5.0,1.38,1.37741046832,21659488.0,0.0,0.0,0.0,0.0,0.0,4.859,54.5875121951,2.52674162262,47.323,1.31275508044,3.63005162815,52.677,45.2,61.7,26.8,74.1,94.1,51.9,6.1,0.9,11.9,0.0167593989295,0.0230845715282,25.098325,1591.9211
29,0.0,0.0,0.0,22211166.0,0.0,0.0,0.0,0.0,0.0,4.781,55.041804878,2.51515321517,46.75,1.29692943614,3.59704612496,53.25,45.4,61.8,26.8,75.1,94.8,52.7,5.9,0.8,11.7,0.00130564959985,0.0,24.9301333333,1410.2196
3355,184.0,5.5,5.48435171386,22773014.0,39.3,0.0,0.0,0.0,0.0,4.704,55.4927560976,2.49811030629,46.181,1.27353540054,3.56098212518,53.819,45.6,61.8,26.8,75.4,94.8,52.7,5.8,0.8,11.7,0.147323494378,0.807973858884,25.1907083333,1489.5632
124,6.0,4.8,4.83870967742,23344179.0,0.0,0.0,264.2,0.0,0.0,4.63,55.9343902439,2.47714212086,45.619,1.25272193578,3.51597191202,54.381,45.8,61.8,26.8,75.6,94.8,52.7,5.8,0.8,11.7,0.005311816706,0.0257023389,25.1317583333,1338.61507
