title,company,location,salary,description,city,state,coded_sal,"Arlington,  VA","Atlanta,  GA","Baltimore,  MD","Bellevue,  WA","Berkeley,  CA","Beverly Hills,  CA","Billerica,  MA","Boston,  MA","Boulder,  CO","Brisbane,  CA","Cambridge,  MA","Campbell,  CA","Charlottesville,  VA","Cherry Hill,  NJ","Chicago,  IL","Collegeville,  PA","Columbia,  MD","Coral Gables,  FL","Denver,  CO","Downers Grove,  IL","Durham,  NC","East Hanover,  NJ","Evanston,  IL","Houston,  TX","Iowa City,  IA","Jacksonville,  FL","Lacey,  WA","Laurel,  MD","Los Angeles,  CA","Manhattan,  NY","Marietta,  GA","Miami,  FL","Mountain View,  CA","New Jersey, NJ","New York,  NY","Newton,  MA","Norcross,  GA","Northridge,  CA","Oakland,  CA","Ohio, OH","Palo Alto,  CA","Pasadena,  CA","Philadelphia,  PA","Pleasanton,  CA","Quincy,  MA","Raleigh,  NC","Redwood City,  CA","Reston,  VA","Rockville,  MD","Rosemont,  IL","Roswell,  GA","Salt Lake City,  UT","San Diego,  CA","San Francisco Bay Area,  CA","San Francisco,  CA","San Jose,  CA","San Mateo,  CA","Santa Clara,  CA","Seattle,  WA","Silver Spring,  MD","Somerville,  MA","Sunnyvale,  CA","Torrance,  CA","Washington,  DC","Watertown,  MA","Wellesley,  MA","Wilmington,  DE"
Data Scientist,ITStaff Technical Resources,"Santa Clara,  CA",102500,"Scientific programming experience (Matlab, R, Python, etc.). You must be driven to learn new concepts from chemistry, physics, algorithm development and...",Santa Clara, CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senior Projections and Statistical Analy...,Employment Security Department,"Lacey,  WA",77500,"R, SQL, C# or JavaScript) to collect, clean and transform data from large databases (big data or internal databases), implement statistical or econometric...",Lacey, WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SENIOR RESEARCH ANALYST, PORTALS",Denver Public Schools,"Denver,  CO",69673,"Facilitate data loading and validation of district data into portals. Work frequently includes writing queries to pull data, overseeing loading, validation, and...",Denver, CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Research Analyst (Statistical Analysis),University of Miami,"Coral Gables,  FL",48000,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",Coral Gables, FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Scientist, Customer Analytics",All-In Analytics,"San Francisco,  CA",150000,"Seeking a driven data scientist with strong BI and customer analytics experience to work with sales, marketing, and loyalty within the top analytics team at a...",San Francisco, CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist / Machine Learning,ZP Group,"Durham,  NC",117500,Data Scientist - Machine Learning. Piper Enterprise Solutions is seeking a Data Scientist with machine learning experience to join a growing bioinformatics...,Durham, NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Enodo Score,"Chicago,  IL",80000,"Working and communicating effectively with an interdisciplinary team of data scientists, software engineers and real estate industry experts....",Chicago, IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantitative Analyst,M-CAM International,"Charlottesville,  VA",85000,"As scientists and researchers, our quantitative analysts use advanced data analysis techniques to glean further information from the financial markets....",Charlottesville, VA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,Workbridge Associates,"Washington,  DC",125000,A leading provider of data and technology for companies that support and promote free enterprise is looking to bring on a Data Scientist to their analytics team...,Washington, DC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Principal Data Scientist, Sequencing",Enterprise Select,"Santa Clara,  CA",150000,"If you are passionate about machine learning, big data, medical diagnostics and challenging scientific research problems, this is the opportunity of a lifetime!...",Santa Clara, CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senior Statistical Researcher - Sheriff Department,City and County of Denver,"Denver,  CO",71671,"Performance of professional-level data analysis to evaluate trends and pattern-based, recurring and predictive analysis support....",Denver, CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist,"Eclat Services, Inc.","Charlottesville,  VA",100000,"Experience with data mining, machine learning, natural language processing, and data visualization. Data Science/Data Mining:....",Charlottesville, VA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Analyst/Senior Analyst, Advanced Analytics",Liberty Mutual,"Boston,  MA",94100,"Participate in discussions with key stakeholders, such as Underwriting, and GS Analytics modeling team consisting of data scientists to support development of...",Boston, MA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statistical Analyst,MbSolutions Inc,"Arlington,  VA",80000,The Contractor shall develop data collection processes/procedures and formats for information for utilization by the Government....,Arlington, VA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Steeful,"Jacksonville,  FL",75000,SAS – fancy data manipulation; Healthcare and marketing/customer care horizontal....,Jacksonville, FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RESEARCH ASSOCIATE,The University of Iowa,"Iowa City,  IA",40202,Assist research scientists and fellows with hybridoma production. Demonstrates knowledge of trends in field;...,Iowa City, IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,WorldCover,"New York,  NY",90000,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our...",New York, NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,ZP Group,"Reston,  VA",190000,"Data, big data, petabytes, PhD, statistics, computer science, machine learning, engineering, image classification, neural networks, data processing, algorithms,...",Reston, VA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (Math background),Jobspring Partners,"Washington,  DC",200000,"The data scientist will develop and implement new methods. Generous base salary and bonuses, Full health benefits, generous 401k match plan, flexible Friday...",Washington, DC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
