title,company,location,salary,description,city,state
Data Scientist,WorldCover,"New York,  NY",90000,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our...",New York, NY
Senior Data Scientist,ZP Group,"Reston,  VA",190000,"Data, big data, petabytes, PhD, statistics, computer science, machine learning, engineering, image classification, neural networks, data processing, algorithms,...",Reston, VA
Data Scientist (Math background),Jobspring Partners,"Washington,  DC",200000,"The data scientist will develop and implement new methods. Generous base salary and bonuses, Full health benefits, generous 401k match plan, flexible Friday...",Washington, DC
Data Scientist (Consumer Loans),Lendmart,"Los Angeles,  CA",55000,"Undertaking knowledge discovery and data mining in large transactional datasets. Performing data extraction, transformation and loading from multiple data...",Los Angeles, CA
Data Scientist,Oliver James Associates,"New York,  NY",160000,"Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and...",New York, NY
DATA ANALYST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan,  NY",59984,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...",Manhattan, NY
Data Engineer/Scientist,Employment Trust,"Bellevue,  WA",117500,"Unlock insights from consumer, commerce, and logistics datasets with math/statistical modeling, machine learning, data mining, econometrics to help understand...",Bellevue, WA
Data Scientist,Huxley Associates,"Chicago,  IL",100000,The Data Scientist will be involved with business critical projects and will be working with brand new technology while using machine learning techniques....,Chicago, IL
Data Scientist,Jobspring Partners,"Chicago,  IL",130000,"The role will allow you take ownership of your work, and continuously learn from intelligent and hard-working data scientists....",Chicago, IL
Criminal Patronage Network (CPN) Research Analyst / Advisor,Quiet Professionals LLC,"Reston,  VA",180000,Salary ranges from $180k-$220k based on experience.*. (min 3 yrs) Counter-Threat Finance methods and tools:. \*THIS POSITION IS IN KABUL\**....,Reston, VA
Senior Research & Policy Analyst,Population Action International (PAI),"Washington,  DC",72500,"Ensure that project work is implemented in an efficient, effective manner that aligns with PAI target objectives, manages project budget, and oversee project...",Washington, DC
Data Scientist,The Connors Group,"New Jersey, NJ",160000,"Our data processing and modeling pipelines are built using Spark, MapReduce,Pig, Hive, Kafka, ElasticSearch, HBase, Cassandra, and other open-source platforms....",New Jersey,NJ
