title,company,location,salary,description,city,state
Senior Machine Learning Engineer,Darwin Recruitment,"Boston,  MA",175000,"Experience with data processing and storage frameworks like Hadoop, Scaling, Spark. Apply machine learning, NLP and deep learning methods to huge data sets....",Boston, MA
"Lead Scientist, Computational Biology",HireMinds,"Cambridge,  MA",100000,"Data analysis and integration into refinements of the algorithm. Exciting, new Cambridge, MA Start-Up Company backed by well-known Venture Firm is looking to...",Cambridge, MA
"Director I, Applied Science, Solaria Labs",Liberty Mutual,"Boston,  MA",144550,"As a Data Scientist focused on ML, you will utilize current and emerging ML techniques to build predictive models from large structured and unstructured data...",Boston, MA
Market Research Analyst,AP Staffing,"Boston,  MA",36000,Ability to maintain attention to detail while accurately interpreting source data. Experience in a data driven or research based role using primary and...,Boston, MA
Entry Level Analytical Chemist,"480 Biomedical, Inc.","Watertown,  MA",50000,"Analyze and interpret data generated and record data in the appropriate format. We are a multi-disciplinary team of biologists, chemists, materials scientists,...",Watertown, MA
Lead EMI Qualification Test Engineer,CEC,"Billerica,  MA",120000,"Set-up hardware, collect data, analyze data and write reports. Technicians, engineers, scientists and consultants....",Billerica, MA
Data Scientist,Darwin Recruitment,"Boston,  MA",120000,"Data Scientist - Machine Learning - NLP - Python - R - Bayesian Statistics - Frequentist - Boston. Our client, a market leading online advertising business, are...",Boston, MA
Machine Learning Engineer,Jobspring Partners,"Boston,  MA",147500,Established software product company located on the North Shore of MA is diving in to the exciting world of Machine Learning. Their product is a complex,Boston, MA
Clinical Laboratory Surveyor,Commonwealth of Massachusetts,"Boston,  MA",73570,"Ability to analyze and determine the applicability of health care data, to draw conclusions and make appropriate recommendations....",Boston, MA
Quantitative Analyst or Manager Decision Sciences,Analytic Recruiting,"Boston,  MA",110000,Analyst or Manager will leverage data assets to optimize profitability and improve consumer and small banking customer experience....,Boston, MA
SQL*Server Database Developer,"Horizons Recruitment, Inc.","Boston,  MA",145000,Experience working with very large data sets and large databases is preferred. We're looking for a software engineer with deep knowledge of the Microsoft...,Boston, MA
"Data Scientist - Fintech startup, R, Python, big data",The Bivium Group,"Boston,  MA",140000,"Key need is a Data Scientist (3+ years), MUST Have prior startup experience. Large data sets, working with distributed computing tools a plus (Map/Reduce,...",Boston, MA
"Manager, Exploratory Statistics",Penfield Search Partners,"Cambridge,  MA",150000,"Expertise in genetic, genomic and proteomics data analysis, including raw data processing and modeling of processed/normalized data, and familiarity with...",Cambridge, MA
Biostatisticians / Boston / Precision Medicine,Invenia Resourcing,"Boston,  MA",120000,"Continuously monitor data readout and compile analysis reports to customers. Stay up-to-date on, apply and develop cutting-edge data analysis tools and...",Boston, MA
Senior Research Scientist,Jobspring Partners,"Cambridge,  MA",160000,"This team is looking for a lead, and two senior data scientists to jump start the deep learning techniques on their team....",Cambridge, MA
"Scientific Director, Oncology/ RNA Diagnostics",TEC Group International,"Cambridge,  MA",175000,Lead a team of research and assay development scientists to develop LDT/ IVD product offerings using cutting edge technology....,Cambridge, MA
Software Development Engineer,WDS Global Partners LLC,"Boston,  MA",145000,Strong knowledge of massive-scale data processing frameworks*. Ability to work in a multidisciplinary group of scientists*....,Boston, MA
E-mail Marketing Rockstar - Manager,IntelyCare,"Quincy,  MA",70000,"Team player, comfortable working with design/UX, engineers, data scientists, and product managers. Superior analytical skills and ability to use data to...",Quincy, MA
"Analytics Manager | PhD or MS - Computer Science, AI, Machin...",TEEMA Solutions Group,"Newton,  MA",132500,"In this role you will work with Data Engineers, Data Architects, Software Engineers, Data Scientists, clients and other technical and cross-functional team...",Newton, MA
"Junior Data Scientist (Python, Spark, SciKitLearn)",Workbridge Associates,"Chicago,  IL",100000,A digital marketing firm located in River North is looking for a Junior-Level Data Scientist to join their growing analytics team....,Chicago, IL
Data Engineer,Enodo Score,"Chicago,  IL",80000,"Must be knowledgeable about data modeling, data access, and data storage techniques. Data pipeline/process management, including the organization and...",Chicago, IL
"Analyst/Senior Analyst, Advanced Analytics",Liberty Mutual,"Chicago,  IL",94100,"Preferred experience manipulating and analyzing data. Participate in discussions with key stakeholders, such as Underwriting, and GS Analytics modeling team...",Chicago, IL
Data Scientist,Jobspring Partners,"Chicago,  IL",120000,Big Data (Spark and Scala) experience is a plus. This company is the next Groupon and for the last decade they’ve been rising through the ranks and now they...,Chicago, IL
Lead Data Scientist,Jobspring Partners,"Chicago,  IL",125000,Join one of America’s leaders in providing health benefits as a Lead Data Scientist. 5+ years of experience in Data Science....,Chicago, IL
Senior Data Scientist,Workbridge Associates,"Chicago,  IL",130000,Hiring for a Senior Data Scientist for a major healthcare corporation that is building out a new data analytics team in Chicago....,Chicago, IL
Principal Data Scientist,Jobspring Partners,"Chicago,  IL",140000,This company's Chicago office is seeking a Principal Data Scientist to lead a team and develop machine learning algorithms and other procedures to figure out...,Chicago, IL
Statistical Analyst,The LaSalle Network,"Chicago,  IL",80000,Experience with data management and data integration. Looking to grow your career in data analysis and statistical modeling?...,Chicago, IL
Statistical Analyst -- Health-7444,S.C. International,"Chicago,  IL",80000,Extremely successful consulting practice has an immediate need for a Statistical Analyst. Our client is an industry leader in consulting to the healthcare,Chicago, IL
Quantitative Risk Analyst,Huxley Associates,"Chicago,  IL",100000,"Are you an expert in Mathematics and looking for your second job out of school? My client, a World Wide Leader in the Banking Industry is looking to hire a",Chicago, IL
Open Source Geniuses,Hirewell,"Chicago,  IL",120000,"Familiarity with political technology and data. As a Software Engineer, you will join our Chicago-based technology team, working collaboratively with other...",Chicago, IL
Quantitative Analyst,Huxley Banking & Financial Services,"Chicago,  IL",100000,The Role:  A Global Investment Bank is looking to hire a Quantitative Analyst to join our Middle Office team. This Chicago based position is for an,Chicago, IL
Research Analyst-Clearing House,Huxley Banking & Financial Services,"Chicago,  IL",90000,"Research Analyst-Top Clearing House My client, a high end Clearing Firm is looking to hire a Research Analyst to join their team. The Research Analyst will",Chicago, IL
"Data Scientist (Python, Spark, AWS)",Workbridge Associates,"Chicago,  IL",110000,A digital marketing firm located in River North is looking for a Data Scientist to join their growing analytics team....,Chicago, IL
"Lead Data Scientist (Tableau, RShiny, D3)",Workbridge Associates,"Chicago,  IL",130000,Hiring for a Senior-Lead Data Scientist for a major healthcare corporation that is building out a new data analytics team in Chicago....,Chicago, IL
"Data Scientist (Python, Spark, AWS)",Workbridge Associates,"Chicago,  IL",92500,A digital marketing firm located in River North is looking for a Data Scientist to join their growing analytics team....,Chicago, IL
Quantitative Risk Analyst,Huxley Banking & Financial Services,"Chicago,  IL",90000,Do you love working on a variety of projects that involve complex modeling methods and exciting technology? A leader in the Financial Technology Space is,Chicago, IL
Senior Data Engineer with Machine Learning,Jobspring Partners,"Chicago,  IL",125000,Strong data mining and extraction. We’re looking to bring on a Senior Data Engineer with strong Machine Learning experience to perform both the development and...,Chicago, IL
Manager-Quantitative Analyst,Huxley Banking & Financial Services,"Chicago,  IL",120000,Work with technology teams to streamline processes and enhance data integrity. A leader in the Financial Technology Industry is looking to hire a Senior...,Chicago, IL
Environmental Soil Scientist,Metropolitan Water Reclamation District of Greater...,"Chicago,  IL",95932,"Research design, statistics and data analysis methods; Under immediate professional supervision, supervises and participates in the work of technical and...",Chicago, IL
Senior Statistical Analyst,Smith Hanley Associates,"Chicago,  IL",85000,"Experience in modeling, forecasting, segmentation and data mining. Tell a story with the data, improve CRM initiatives, and enhance campaigns to drive results....",Chicago, IL
Machine Learning Engineer,Jobspring Partners,"Chicago,  IL",135000,This SaaS company located in downtown Chicago partners up with sports teams and brands to evaluate the value of sponsors. They do this by recommending how it,Chicago, IL
Full Stack Developer,Workbridge Associates,"Chicago,  IL",80000,Interest in Data Science is a huge plus. As a developer here you’ll get a chance to work in a beautiful co-op space with some of Chicago’s most intelligent data...,Chicago, IL
Postdoctoral Fellow in Stem Cell Biology and Pharmacogenomic...,Northwestern University,"Chicago,  IL",47484,This position is highly suitable for those interested in pursuing a career as an independent academic scientist....,Chicago, IL
Principal Machine Learning Engineer,Jobspring Partners,"Chicago,  IL",160000,We are looking to bring on a Principal Data Scientist to join our growing data engineering team in the Loop....,Chicago, IL
Data Scientist,Huxley Associates,"Chicago,  IL",100000,The Data Scientist will gain exposure to the front office and technology teams. A leading Global Bank is looking to hire a Data Scientist to join their team in...,Chicago, IL
"Predictive Modeling, Director",Analytic Recruiting,"Chicago,  IL",125000,"Crafting the methodology, to data modeling using tools like SAS, R, SPSS, Python, and ultimately delivering final insightful recommendations....",Chicago, IL
Sr. Machine Learning Developer,All-In Analytics,"Downers Grove,  IL",75000,Experience with data extraction and analysis. Analyzes large amounts of data from our infrastructure systems....,Downers Grove, IL
Data Scientist (Machine Learning),Workbridge Associates,"Chicago,  IL",130000,A fast growing data analytics consulting shop is looking expand the development team by adding a Data Scientist in their Chicago office....,Chicago, IL
Statistical Analyst,Smith Hanley Associates,"Rosemont,  IL",75000,"Implement statistical programming, data integrity, and more to influence business solutions. Smith Hanley Associates is the premier recruiting agency serving...",Rosemont, IL
Data Scientist,Hirewell,"Evanston,  IL",150000,"Data skills, whether relating to data size, speed requirements, complexity, inconsistency, etc. Web services & data transport mechanisms....",Evanston, IL
Lead Data Scientist (Data Visualization),Workbridge Associates,"Chicago,  IL",122500,A major healthcare corporation located right in the Loop is building out a brand new data analytics team and looking for a Lead Data Scientist to help lead out...,Chicago, IL
Senior Statistical Modeler,Smith Hanley Associates,"Chicago,  IL",85000,-Ability to manipulate complex data sets and communicate insights and recommendations. -Produce segmentations to understand consumer preferences as well as...,Chicago, IL
Data Scientist -Fitness/Wellness Firm,Hirewell,"Chicago,  IL",120000,Bring structure to large quantities of data - turn unstructured data into structured data. Data Extraction Tools:....,Chicago, IL
Lead Data Scientist (NLP),Workbridge Associates,"Chicago,  IL",135000,Hiring for a Lead Data Scientist with a strong Natural Language Processing background for a major healthcare corporation that is building out a new data...,Chicago, IL
Data Scientist - Predictive Modeler - P&C/Health/Life-7644,S.C. International,"Chicago,  IL",130000,"Seeking a self-starter with 3+ years of professional experience in statistical modeling, data science, machine learning, data or text mining, and data...",Chicago, IL
Corporate Engagement Research Analyst,UC San Diego,"San Diego,  CA",56000,"Substantial experience developing and maintaining database systems using appropriate software applications in order to conduct data analytics, e.g, perform...",San Diego, CA
Lead Statistician (first in-house hire),Real Staffing,"San Diego,  CA",150000,"You must be an expert in statistical principles and able to design and review data collection strategies and instruments (such as CRFs), database design, edit...",San Diego, CA
"Staff Product Manager, Compliance Testing - Consumer Electro...",TriStaff Group,"San Diego,  CA",145000,"Principal Technical Product Manager , DRM, digital rights management, streaming video, media, game consoles, gaming, blueray, , open source, User Interface, ,...",San Diego, CA
"MEDICAL TECHNOLOGIST, DATA SYSTEMS",Los Angeles County Department of Human Resources,"Los Angeles,  CA",88765,"Clinical Laboratory Scientist, Limited Clinical Laboratory Scientist, Clinical Microbiologist Scientist License, or Public Health Microbiologist Certificate...",Los Angeles, CA
Quantitative Analyst,Montgomery Assets,"Los Angeles,  CA",97000,"Quantitative Analyst * Primary Location:  United States,Los Angeles,California * Education:  Master's Degree * Job Function:  Analysis, Research *",Los Angeles, CA
Lead Data Scientist,HERO.jobs,"Los Angeles,  CA",160000,"They need a Lead or Principal level Data Scientist who is an expert with Machine Learning to work with a talented team based near Downtown Los Angeles, CA....",Los Angeles, CA
Data Scientist (Consumer Loans),Lendmart,"Los Angeles,  CA",55000,"Performing data extraction, transformation and loading from multiple data sources. Lendmart is growing and we’re looking for a Data Scientist with industry...",Los Angeles, CA
Jr. Data Scientist,FullDeck,"Los Angeles,  CA",50000,"Data Scientist for our client, a fast-growing tech company with high profile entertainment clients! This person will work autonomously in a very collaborative...",Los Angeles, CA
Senior Data Scientist,Elevano,"Los Angeles,  CA",160000,Our Client is looking for a very strong Senior Data Scientist. Our Client is a very well funded FinTech company leaning heavily on machine learning algorithms...,Los Angeles, CA
Investigations & Research Analyst,Gavin de Becker & Associates,"Beverly Hills,  CA",42500,"Mission & Service Los Angeles, CA Gavin de Becker & Associates is a dynamic security firm innovating threat assessment and public figure protection.",Beverly Hills, CA
scientist,Liberos LLC,"Los Angeles,  CA",50000,"Screen/Store/Transmit psychophysiological data. Nicole Prause in Hollywood and Venice, California collecting, analyzing, and writing complex physiological data...",Los Angeles, CA
Data Entry & Analysis Specialist,FullDeck,"Los Angeles,  CA",37500,We have an immediate need for a Data Entry Specialist to support our tech client’s Data Science team. This person will work autonomously in a very collaborative...,Los Angeles, CA
"Sr. Data Scientist Needed for Top LA Start-Up, Huge Opportun...",ConSol Partners,"Los Angeles,  CA",160000,"Leading content discovery platform seeking Senior Data Scientist to join evolving, entrepreneurial Big Data team with their rapidly growing organization....",Los Angeles, CA
SUPERVISING CLINICAL LABORATORY SCIENTIST II,Los Angeles County Department of Human Resources,"Los Angeles,  CA",92328,Option I - Two (2) years of experience as a Clinical Laboratory Scientist II**. **Supervising Clinical Laboratory Scientist I in the County of Los Angeles is...,Los Angeles, CA
Research Scientist,Arete Associates,"Northridge,  CA",104500,"Assess algorithm performance on real-world data. Sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm...",Northridge, CA
"Market Research Analyst, Automotive Electronics",Parallel Partners,"Torrance,  CA",67500,"Devise and evaluate methods and procedures for collecting data (surveys, opinion polls, or questionnaires), or arrange to obtain existing data....",Torrance, CA
Computational Scientist,Arete Associates,"Northridge,  CA",84500,"Assess algorithm performance on real-world data. Sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm...",Northridge, CA
Senior iOS Developer,LT,"Los Angeles,  CA",170000,"There is currently three Data Scientists. Data Science is using R, Hadoop, Spark, Python and more. My client a leading consumer facing Application Company...",Los Angeles, CA
Computer Vision Data Scientist,MACP Los Angeles,"Los Angeles,  CA",185000,We are looking for a Senior Data Scientist with experience applying state of the art machine learning algorithms to massive data sets.Some of the projects that...,Los Angeles, CA
Property and Casualty Predictive Modeler #74851,Ezra Penland Actuarial Recruitment,"Los Angeles,  CA",160000,"Client prefers this data scientist to have 8 to 15 years of experience, approximately. Must have experience with advanced statistical analysis of insurance...",Los Angeles, CA
LC/MS Clinical Laboratory Scientist,Lighthouse Recruiting,"Pasadena,  CA",95000,"Join our Medical Laboratory Scientists Groups:. And also performing quantitative analysis, data review and certifying and releasing results....",Pasadena, CA
Data & Research Analyst,The Council,"Washington,  DC",82500,"Provides business-owner collaboration for The Council's data architecture strategy including overall data design and structure, data integrity, and database...",Washington, DC
Senior Research & Policy Analyst,Population Action International (PAI),"Washington,  DC",72500,"Lead brown-bag discussions, and provide analysis to staff, advise on reliable data sources, retrieve data and perform original calculations;...",Washington, DC
Data Scientist,"Gunther Douglas, Inc.","Washington,  DC",125000,"Compri Consulting's global client is seeking a *Data Scientist*. Experience writing code and using data science tools such as SQL, Python, Tableau, ArcGIS, and...",Washington, DC
Research Analyst,American Society for Engineering Education (ASEE),"Washington,  DC",50000,"Collects and analyzes survey data; Experience with/ interest in data visualization (Tableau and Qlik). Prepares reports, gathers data, composes correspondence...",Washington, DC
Criminal Patronage Network (CPN) Research Analyst / Advisor,Quiet Professionals LLC,"Reston,  VA",180000,\*THIS POSITION IS IN KABUL\* Resume must reflect requirements to be considered. Salary ranges from $180k-$220k based on experience. The Criminal,Reston, VA
Business Development/ Market Research Analyst,Eyebrow Express,"Alexandria,  VA",43200,Eyebrow Express is a personal services company located in Alexandria and we are looking to expand our operations by opening more locations in the Washington,Alexandria, VA
Senior Product Manager,Catalist,"Washington,  DC",85000,"Conversant understanding of relational data and analytic data warehouses. Catalist is home to a dedicated, creative team of technologists, data scientists and...",Washington, DC
Afghan Ministry of Defense (MoD) Research Analyst/Advisor,Quiet Professionals LLC,"Reston,  VA",200000,\*THIS POSITION IS IN KABUL\* Resume must reflect requirements to be considered. Salary ranges from $180k-$220k based on experience. *Afghan Ministry,Reston, VA
Research Development Engineer/Scientist,TULK llc,"Alexandria,  VA",160000,We are seeking a research scientist that applies theory to observables or proxy data to address intelligence issues in the geospatial domain....,Alexandria, VA
Data Scientist (Math background),Jobspring Partners,"Washington,  DC",250000,"The data scientist will develop and implement new methods. The senior data scientist will be working on research, development, and methodology....",Washington, DC
Front End Developer,FlashX,"Silver Spring,  MD",90000,Please note that we are NOT looking for data scientists. FlashX is looking for rising superstars in front end development to help build an open source platform...,Silver Spring, MD
Credit Risk Transfer Research Analyst,iiTS,"Washington,  DC",140000,"Familiarity with Fannie Mae’s historical credit performance and data. Enthusiasm to analyze large data sets and work on hard, ill-defined problems....",Washington, DC
Analytic Methodologist,Central Intelligence Agency,"Washington,  DC",72951,"They also partner with substantive experts and data scientists to develop and prototype new methodological approaches and tools, applying them in novel ways to...",Washington, DC
Software Engineer,FlashX,"Silver Spring,  MD",100000,Please note that we are not looking for data scientists. FlashX is looking for rising superstars in software engineering to help develop an open source platform...,Silver Spring, MD
Big Data/IoT Software Engineer,Jobspring Partners,"Washington,  DC",130000,"IoT, Big Data, Java, Scala, Python, Analytics, Sensor, Machine Learning, Spark, Accumulo, Kafka, RabbitMQ, ETL, NoSQL, Storm, Data Scientist, Github....",Washington, DC
Senior Systems Administrator,Impact Research,"Columbia,  MD",92500,"Impact Research is a small business located in Columbia, Maryland that specializes in Transportation Research and Data Analysis....",Columbia, MD
"Senior Software Engineer (Data Engineer, IoT)",Jobspring Partners,"Washington,  DC",135000,"IoT, Big Data, Java, Scala, Python, Analytics, Sensor, Machine Learning, Spark, Accumulo, Kafka, RabbitMQ, ETL, NoSQL, Storm, Data Scientist, Github....",Washington, DC
Research Associate Level I (Process Development Dpt.),"ProMetic BioTherapeutics, Inc. (PBT)","Rockville,  MD",46000,"The candidate will be responsible for leaning basic purification techniques, buffer preparation, column packing, data entry, and performs routine laboratory...",Rockville, MD
Research Analyst - Law Firm,Fawkes IDM,"Washington,  DC",75000,"An international law firm with offices in Washington, D.C. is seeking a Research Analyst to be responsible for responding to reference and research requests",Washington, DC
Machine Learning Data Engineer (Manager),Jobspring Partners,"Washington,  DC",140000,"Professional Data Science experience. Familiarity with big data technologies (Hadoop) is preferred. Right now, this rapidly expanding division is seeking a...",Washington, DC
Senior Credit Risk Transfer Research Analyst,KVR Consultant,"Alexandria,  VA",135000,"Familiarity with historical credit performance and data. Enthusiasm to analyze large data sets and work on hard, ill-defined problems....",Alexandria, VA
OPIR Scientist - Laser Specialist 1,TULKORP.,"Alexandria,  VA",97000,"Supports GEOINT analysis and operation support for data processing, data analysis and analytic support. Responsible for supporting processing, exploitation and...",Alexandria, VA
Principal Environmental Engineer,WSSC,"Laurel,  MD",93986,"Ability to plan and oversee the work of professional engineers and scientists; Supports and works with scientists, engineers and other employees in the study...",Laurel, MD
Data Scientist,Jobspring Partners,"Philadelphia,  PA",160000,This candidate will lead a team of data scientists and data engineers that develop the data processing engine that analyze and translate data from medical...,Philadelphia, PA
Principal Data Scientist,Averity,"Philadelphia,  PA",157500,We are hiring a Principal Data Scientist to join one of the country's largest media companies that is putting a large focus and investment in data science....,Philadelphia, PA
Program Manager - Data Analysis/Insider Threat,Pamir Consulting,"Philadelphia,  PA",85000,"Event and Data Management System. Serve as global subject matter expert for Intellectual Property & Trades Secret Protection event and data management system,...",Philadelphia, PA
Senior Software Engineer (Scala),Juno Search Partners,"Philadelphia,  PA",120000,"Their academic platform helps answer questions around data sharing and analysis, helping scientists and medical professionals make better decisions within...",Philadelphia, PA
Data Scientist,Workbridge Associates,"Philadelphia,  PA",107500,Data Mining experience. If you’re a Data Scientist or aspiring that leverages a healthy amount of Machine Learning and Predictive Modeling with either Python or...,Philadelphia, PA
"Backend Java Developer - Fully AWS, Machine Learning, BioPha...",Workbridge Associates,"Philadelphia,  PA",125000,"One of the area’s most successful startups are looking to bring on a seasoned, polyglot programmer to help continue to build out their proprietary SaaS model",Philadelphia, PA
Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,Averity,"Philadelphia,  PA",250000,Source and build large data sets to utilize your abilities to conduct statistical and mathematical analysis....,Philadelphia, PA
Clinical Study Associate Trial Master File – TMF,inVentiv Health Clincal,"Collegeville,  PA",56000,"At least 3 years’ experience from a CRO or Sponsor Company working in clinical research, clinical operations or data scientist roles (eg Study Manager, Clinical...",Collegeville, PA
Digital Marketing (Data Scientist),"Kennedy Unlimited Inc, Professional Staffing","Wilmington,  DE",115000,Responsibilities of the Digital Marketing (Data Scientist). Fill Key job opening in Digital Marketing (Data Scientist). Salary 100K to 130K....,Wilmington, DE
Scientist,HumanEdge,"Cherry Hill,  NJ",97500,"Utilize advanced chemical knowledge, data, modeling and statistical tools to solve technical challenges. Our client in Southern New Jersey is looking to bring...",Cherry Hill, NJ
Personal Care Formulation Scientist,Chatham Group,"Philadelphia,  PA",57000,"Assists in the development of the promotional materials such as demo formulations, formulation data sheets, trade magazine articles, technical data sheets,...",Philadelphia, PA
Data Scientist,Liberty Personnel Services,"Wilmington,  DE",140000,Data Scientist – Financial Environment – SQL R SAS. We are currently looking for a Data Scientist to join our team in Wilmington DE....,Wilmington, DE
Data Scientist Healthcare,Harnham,"Philadelphia,  PA",130000,"Data Scientist - Healthcare. Reporting to the Manager of the Data Science team, as a Data Scientist you will be solving some of healthcare's most ground...",Philadelphia, PA
"Data Scientist - Analytical Experiments, Analytical Tools","Computer Enterprises, Inc.","Philadelphia,  PA",140000,"Creates actionable insight and understanding, through the analysis of both quantitative and qualitative data, building recommendations that directly address...",Philadelphia, PA
Machine learning / AI / Restful API web services Engineer at...,CareerMonks,"Atlanta,  GA",120000,"Familiarity with No SQL databases, bot framework, data streaming and integrating unstructured data will be plus. Data exchange technologies like JSON *....",Atlanta, GA
Supervisory Health Scientist,Centers for Disease Control and Prevention,"Atlanta,  GA",143516,As a Supervisory Health Scientist you will:. For laboratory informatics and data science related to public health programs....,Atlanta, GA
Senior Research Analyst,"Competitive Promotion Report, LLC","Marietta,  GA",50000,Extracting relevant data from the CPR databases and combining with data from external sources. Quickly acquire knowledge of CPR’s databases and take actions to...,Marietta, GA
Business Research Analyst,CI Radar,"Norcross,  GA",31000,Who We Are CI Radar is the premier provider of competitive intelligence services for B2B (business to business) companies. We help both startups and Fortune,Norcross, GA
Laboratory Aide 3,Georgia Department of Public Health,"Atlanta,  GA",24000,"Under broad supervision, assists technicians and laboratory scientists with data or specimen collection and laboratory procedures....",Atlanta, GA
Senior Statistical Consultant,Principle Solutions Group,"Roswell,  GA",120000,Knowledge of credit bureau and alternative data a plus. 5+ years of experience in statistical credit risk modeling and quantitative data analysis....,Roswell, GA
Statistician - Model Validation,Smith Hanley Associates,"Atlanta,  GA",105000,"-Provide expertise in problem design, data development, model development, and ongoing model monitoring and validation. Smith Hanley Associates....",Atlanta, GA
"Principal Data Scientist, Sequencing",Enterprise Select,"Santa Clara,  CA",150000,"As a principal data scientist in machine learning, you will explore an exciting new application of neural networks....",Santa Clara, CA
Data Scientist,Jobspring Partners,"Palo Alto,  CA",175000,"Along with experience in building data pipelines, you should be a positive person that is ready to work and take on new challenges....",Palo Alto, CA
Data Scientist,ITStaff Technical Resources,"Santa Clara,  CA",102500,They’re looking for a data scientist who's passionate about performing analysis and driving development utilizing DNA sequencing technology....,Santa Clara, CA
"Principal Software Engineer, Data Science",MatchPointe Group,"Santa Clara,  CA",125000,"Principal Software Engineer, Data Science. Experience in large-scale use of cloud computing for massive data....",Santa Clara, CA
Principal Data Scientist,ITStaff Technical Resources,"Santa Clara,  CA",125000,Data exploration and collaboration with scientists from diverse fields to advance DNA sequencer technology development....,Santa Clara, CA
Senior Data Scientist,Workbridge Associates,"Mountain View,  CA",200000,Experience with large data sets and predictive analysis. A fast paced startup in Mountain View is taking on social media marketing and looking for a Senior Data...,Mountain View, CA
SENIOR ARTICIAL INTELLIGENCE (AI)/ DATA SCIENTIST,"TW STAFFING SOLUTIONS,INC","San Jose,  CA",175000,"SENIOR DATA SCIENTIST ARTIFICIAL INTELLIGENCE (AI)*. Relocation available to San Jose, California for those with Ph.D.’s in computer science/engineering with...",San Jose, CA
"Data Scientist II, Sequencing",Enterprise Select,"Pleasanton,  CA",120000,"As a Data Scientist, you will be performing analysis to drive development of our sequencing technology. Using command line tools to perform data conversion and...",Pleasanton, CA
Senior Machine Learning Data Scientist,Workbridge Associates,"Pleasanton,  CA",200000,Leading provider of mortgage software solutions has founded a new high-visibility Data Engineering & Machine Learning organization and is seeking Data...,Pleasanton, CA
Bioinformatics Engineer,ITStaff Technical Resources,"Santa Clara,  CA",120000,They’re looking for a data scientist that’s passionate about performing analysis to drive development utilizing sequencing technology....,Santa Clara, CA
Mid-Level QA Engineer,Workbridge Associates,"San Jose,  CA",100000,They will be working collaboratively with a team of multiple developers and data scientists. This Silicon Valley tech giant of financial services is molding the...,San Jose, CA
Data Scientist,Jobspring Partners,"San Jose,  CA",160000,A South Bay based healthcare analytics start up is looking for a Data Scientist to join their growing team. They are working on a custom analytics platform that...,San Jose, CA
Senior Data Scientist,Workbridge Associates,"San Jose,  CA",180000,The company we are working with offers a predictive interaction solution for financial institutions to deliver personalized customer experiences across online,San Jose, CA
Senior Data Engineer / Senior Data Scientist,Harnham,"Mountain View,  CA",160000,Harnham are exclusively partnering with a leading enterprise social listening platform in their search for a Senior Data Engineer/ Data Scientist....,Mountain View, CA
Data Scientist (Finance Company),Workbridge Associates,"San Jose,  CA",190000,The South Bay company we are working with offers a predictive interaction solution for financial institutions to deliver personalized customer experiences,San Jose, CA
Machine Learning Engineer - Computer Vision,Jobspring Partners,"San Jose,  CA",190000,We are currently working with one of the hottest startups in the UAV space that is building the future of autonomous flight. Their commercial drones are,San Jose, CA
Mid-Level Data Scientist,Workbridge Associates,"Sunnyvale,  CA",100000,"Any other experience within data scalability, data validation, data modeling, and data mining HUGE, HUGE plus!!...",Sunnyvale, CA
Data Entry/research analyst,ESG Consulting Inc,"Santa Clara,  CA",35000,Data Entry/research analyst*. Review and analyze data and strategize ways to improve data entry process. The data analyst is a key member of the operations team...,Santa Clara, CA
STAFF DATA SCIENTIST / DEEP LEARNING,TERADEEP INC.,"Campbell,  CA",140000,Large Scale Data Extraction and Preparation. Develops Deep Learning HW & SW Acceleration solutions for datacenter applications....,Campbell, CA
Mid-Level Machine Learning Data Scientist,Workbridge Associates,"Sunnyvale,  CA",190000,Leading provider of mortgage software solutions has founded a new high-visibility Data Engineering & Machine Learning organization and is seeking Mid-Level Data...,Sunnyvale, CA
Senior Machine Learning Scientist,Tandem Recruiting Group,"Santa Clara,  CA",180000,"Its Research Institute accumulates over a decade R&D experience in Video Camera, Image Processing, Video Transmission and Display, Data Storage, Artificial...",Santa Clara, CA
Machine Learning Infrastructure Engineer,Jobspring Partners,"San Jose,  CA",150000,You will play a critical role in building the world's first mainstream solution to machine learning powered by an autonomous distributed system that infers...,San Jose, CA
Senior Machine Learning Engineer,Jobspring Partners,"San Jose,  CA",190000,Want to work for one of the most recognizable companies in the world? Chances are someone in your network uses their products on a daily basis. This office in,San Jose, CA
Government Enterprise Architect,xentity corporation,"Denver,  CO",111000,"Validate data models (logical and physical) for adherence to data management standards. Maintain a data dictionary containing information about data, including...",Denver, CO
SR RESEARCH ANALYST - 17096,Denver Public Schools,"Denver,  CO",69673,"Support Research & Evaluation team with annual assessment releases, data requests, and development and validation of key metrics, production databases created...",Denver, CO
Lead Data Scientist,Edgelink,"Denver,  CO",135000,Big Data Experience. Develop data pipeline to acquire test data for use in model testing. Work with sensor data to understand physical manifestation....,Denver, CO
"Head, Jerry Crail Johnson Earth Sciences & Map Library",University of Colorado,"Boulder,  CO",65000,Spatial data infrastructure. Experience in developing geoscience data services; Research of scientists in the College of Arts & Sciences as well as several....,Boulder, CO
Manager of FP&A,"Community Investors, Inc.","Denver,  CO",50000,"If you think you might not have all of the requisite data scientist skills, don’t sweat it. You probably have a degree in data science, finance or some other...",Denver, CO
